,Trial,Time,Episodes,Actions
0,1,1.005002498626709,240,89923
1,2,0.514035701751709,135,47200
2,3,0.33802366256713867,108,27633
3,4,1.079073429107666,257,100124
4,5,1.1219456195831299,297,103490
5,6,1.984032392501831,368,153597
6,7,3.3040359020233154,375,151678
7,8,1.0240027904510498,154,43587
8,9,1.2800030708312988,174,54903
9,10,0.26200103759765625,74,8118
10,11,3.4000370502471924,380,155283
11,12,0.790003776550293,105,35190
12,13,2.1970067024230957,251,98422
13,14,0.44699835777282715,86,17543
14,15,1.8223657608032227,215,82312
15,16,2.4260058403015137,286,110496
16,17,0.9429829120635986,149,39550
17,18,1.4330060482025146,166,65882
18,19,3.2340149879455566,405,145381
19,20,1.4539768695831299,172,65475
20,21,1.3260834217071533,193,54645
21,22,0.8000087738037109,121,30343
22,23,1.2230026721954346,166,52105
23,24,0.6819651126861572,125,26407
24,25,2.1280012130737305,269,92077
25,26,1.2970037460327148,154,56429
26,27,0.21203184127807617,65,5388
27,28,1.3559720516204834,155,60164
28,29,1.2420411109924316,150,54491
29,30,1.1150367259979248,158,47694
30,31,1.4359662532806396,183,63631
31,32,0.8140287399291992,104,36142
32,33,0.478039026260376,81,19445
33,34,3.0050339698791504,359,132434
34,35,3.6620728969573975,402,169433
35,36,1.1420314311981201,173,47191
36,37,2.009005308151245,259,89206
37,38,1.690004825592041,211,75949
38,39,3.0510077476501465,393,135662
39,40,2.2268760204315186,251,100969
40,41,2.5290064811706543,307,110033
41,42,0.27507686614990234,63,9342
42,43,1.3130321502685547,153,59630
43,44,3.1960082054138184,364,144742
44,45,0.7810022830963135,115,31518
45,46,0.23506975173950195,60,6976
46,47,0.7600300312042236,113,31596
47,48,1.3860034942626953,190,59676
48,49,1.3849997520446777,183,57591
49,50,0.6879715919494629,101,27909
50,51,1.1540205478668213,132,52376
51,52,0.6039981842041016,109,24102
52,53,2.990011692047119,338,134928
53,54,2.633025884628296,302,120400
54,55,0.37398767471313477,78,14214
55,56,2.045010805130005,234,92978
56,57,0.7969729900360107,114,32408
57,58,3.475952625274658,387,161003
58,59,3.1810271739959717,348,145666
59,60,0.939002275466919,131,38460
60,61,0.2319939136505127,60,6743
61,62,0.8970022201538086,142,36659
62,63,0.3660006523132324,78,12093
63,64,0.7380273342132568,121,29009
64,65,1.4650075435638428,194,63094
65,66,3.3157637119293213,375,152187
66,67,1.5410025119781494,179,70537
67,68,2.832007646560669,288,134037
68,69,0.6150021553039551,96,24924
69,70,1.4760041236877441,169,67815
70,71,0.7180361747741699,125,28071
71,72,2.4370064735412598,271,112402
72,73,3.986039161682129,457,184019
73,74,3.0789952278137207,350,142561
74,75,2.0930073261260986,240,96639
75,76,1.8500020503997803,229,83267
76,77,1.4259698390960693,152,63741
77,78,1.990403652191162,232,91528
78,79,0.7400040626525879,100,28866
79,80,4.121006011962891,472,189409
80,81,1.9769952297210693,250,89222
81,82,1.7389273643493652,212,74570
82,83,1.6249163150787354,202,72706
83,84,0.8415937423706055,149,33394
84,85,1.67801833152771,190,75056
85,86,2.139010190963745,242,98326
86,87,1.5080316066741943,198,67189
87,88,3.46821928024292,397,160028
88,89,0.811967134475708,145,33110
89,90,1.3370120525360107,211,56525
90,91,1.0890164375305176,165,46051
91,92,0.5540497303009033,96,20596
92,93,2.743007183074951,360,121955
93,94,1.5920097827911377,210,68940
94,95,2.447976589202881,277,112632
95,96,1.0740306377410889,152,46922
96,97,0.9490029811859131,116,43087
97,98,1.2040314674377441,190,50956
98,99,1.3080787658691406,204,55201
99,100,1.1970033645629883,170,52258
