,Trial,Time,Episodes,Actions
0,1,0.1660017967224121,71,11447
1,2,0.1530017852783203,59,8612
2,3,0.09189796447753906,38,4092
3,4,0.07000088691711426,29,3418
4,5,0.04400062561035156,26,1529
5,6,0.10300087928771973,46,5245
6,7,0.07900047302246094,34,3032
7,8,0.045000553131103516,23,2522
8,9,0.18500137329101562,82,11583
9,10,0.13808155059814453,63,9116
10,11,0.04900765419006348,27,2647
11,12,0.06500005722045898,31,3574
12,13,0.06300044059753418,27,3016
13,14,0.140000581741333,60,7586
14,15,0.11400032043457031,51,6586
15,16,0.15700364112854004,70,8684
16,17,0.15100908279418945,55,9397
17,18,0.09800004959106445,43,6016
18,19,0.11108946800231934,46,7403
19,20,0.02200031280517578,13,978
20,21,0.05501890182495117,26,2920
21,22,0.055977821350097656,26,2388
22,23,0.027004718780517578,18,1059
23,24,0.06600522994995117,36,3476
24,25,0.08506989479064941,40,5459
25,26,0.09607481956481934,43,5942
26,27,0.11604118347167969,49,6729
27,28,0.08810973167419434,38,5035
28,29,0.04796147346496582,26,2422
29,30,0.032998085021972656,18,1544
30,31,0.053961753845214844,25,2812
31,32,0.0459589958190918,23,2739
32,33,0.11508607864379883,49,6448
33,34,0.08808541297912598,45,4425
34,35,0.07896924018859863,24,1805
35,36,0.09896087646484375,20,2823
36,37,0.20100045204162598,48,5649
37,38,0.27202320098876953,54,7983
38,39,0.17600655555725098,36,5289
39,40,0.08997249603271484,17,2621
40,41,0.17300057411193848,46,4348
41,42,0.3000001907348633,49,8900
42,43,0.2970151901245117,81,7210
43,44,0.16097211837768555,38,4294
44,45,0.04897022247314453,17,1056
45,46,0.11397290229797363,26,3077
46,47,0.19496893882751465,34,5749
47,48,0.14400124549865723,27,4314
48,49,0.24396848678588867,52,6752
49,50,0.23997259140014648,43,7075
50,51,0.14400172233581543,26,4264
51,52,0.0960698127746582,21,2830
52,53,0.12118935585021973,40,2810
53,54,0.12798786163330078,32,3291
54,55,0.09600019454956055,23,2567
55,56,0.2310013771057129,43,6723
56,57,0.21300864219665527,54,5712
57,58,0.2740302085876465,62,7318
58,59,0.19996976852416992,44,5488
59,60,0.07802987098693848,22,1798
60,61,0.13300085067749023,29,3541
61,62,0.18000340461730957,36,4919
62,63,0.300936222076416,59,8467
63,64,0.13000154495239258,33,3333
64,65,0.4420022964477539,86,12572
65,66,0.13292384147644043,38,3060
66,67,0.09300065040588379,29,1991
67,68,0.10999131202697754,23,2948
68,69,0.15601325035095215,39,4030
69,70,0.1239931583404541,29,2971
70,71,0.09100079536437988,15,2200
71,72,0.12600064277648926,25,3453
72,73,0.21000933647155762,47,5644
73,74,0.18500494956970215,33,5415
74,75,0.14399433135986328,42,3284
75,76,0.21702218055725098,44,6135
76,77,0.17808175086975098,43,4414
77,78,0.2769927978515625,50,8073
78,79,0.09698748588562012,24,2556
79,80,0.3879821300506592,68,11452
80,81,0.13000011444091797,25,3744
81,82,0.09296798706054688,22,2489
82,83,0.18002820014953613,38,5106
83,84,0.22500252723693848,53,6184
84,85,0.0850059986114502,26,2059
85,86,0.12195372581481934,32,3041
86,87,0.10699248313903809,21,2998
87,88,0.07603001594543457,19,1997
88,89,0.20796775817871094,38,6126
89,90,0.2509951591491699,52,7004
90,91,0.11499929428100586,29,3026
91,92,0.17800402641296387,41,4856
92,93,0.4869976043701172,111,12877
93,94,0.2649717330932617,58,7307
94,95,0.1059563159942627,26,2685
95,96,0.13096880912780762,32,3444
96,97,0.09800028800964355,26,2442
97,98,0.2810018062591553,63,8031
98,99,0.1510028839111328,35,4211
99,100,0.2660331726074219,59,7525
