,Trial,Time,Episodes,Actions
0,1,0.026008129119873047,23,311
1,2,0.05910801887512207,53,1724
2,3,0.023916006088256836,18,779
3,4,0.020008563995361328,18,651
4,5,0.0189969539642334,21,272
5,6,0.029955387115478516,23,1352
6,7,0.05492544174194336,42,1741
7,8,0.024010419845581055,20,561
8,9,0.09802794456481934,58,4835
9,10,0.0730428695678711,62,3519
10,11,0.26000165939331055,232,5682
11,12,0.027108430862426758,22,1008
12,13,0.058997154235839844,55,1736
13,14,0.11398005485534668,102,3714
14,15,0.08507752418518066,76,3472
15,16,0.01900005340576172,19,489
16,17,0.017000198364257812,18,260
17,18,0.037999868392944336,23,2228
18,19,0.02703237533569336,20,883
19,20,0.023999929428100586,20,980
20,21,0.01900005340576172,21,364
21,22,0.025000572204589844,20,950
22,23,0.18308472633361816,166,4149
23,24,0.06990933418273926,58,1774
24,25,0.022000789642333984,20,534
25,26,0.02300095558166504,22,555
26,27,0.022009849548339844,17,983
27,28,0.08600044250488281,63,4407
28,29,0.017999887466430664,21,326
29,30,0.022989988327026367,21,938
30,31,0.023000717163085938,23,487
31,32,0.05599784851074219,56,1843
32,33,0.0260009765625,24,960
33,34,0.01900029182434082,20,196
34,35,0.02903294563293457,21,1134
35,36,0.020025253295898438,21,398
36,37,0.021001815795898438,21,386
37,38,0.024109601974487305,22,752
38,39,0.10407829284667969,79,4419
39,40,0.025004863739013672,20,976
40,41,0.03504443168640137,24,1540
41,42,0.020682334899902344,20,525
42,43,0.02303314208984375,22,549
43,44,0.03307223320007324,24,1641
44,45,0.017008543014526367,17,387
45,46,0.09702062606811523,75,3866
46,47,0.12503647804260254,62,3190
47,48,0.0410003662109375,20,724
48,49,0.04299426078796387,20,855
49,50,0.03297233581542969,18,470
50,51,0.04197263717651367,20,815
51,52,0.05199885368347168,22,1204
52,53,0.05900001525878906,24,1436
53,54,0.056000471115112305,24,1264
54,55,0.3399956226348877,168,6013
55,56,0.0369722843170166,21,484
56,57,0.19092941284179688,78,4347
57,58,0.04297447204589844,23,684
58,59,0.034966230392456055,21,400
59,60,0.0369260311126709,17,677
60,61,0.03800058364868164,21,564
61,62,0.14797472953796387,66,2995
62,63,0.039999961853027344,23,499
63,64,0.03895998001098633,17,925
64,65,0.03997302055358887,20,687
65,66,0.0509800910949707,27,783
66,67,0.032998085021972656,20,340
67,68,0.03497171401977539,21,446
68,69,0.04599928855895996,26,628
69,70,0.032000064849853516,21,248
70,71,0.037000417709350586,18,703
71,72,0.034999847412109375,21,406
72,73,0.04799795150756836,27,625
73,74,0.03400015830993652,18,563
74,75,0.05200052261352539,22,1162
75,76,0.03599977493286133,17,763
76,77,0.03896951675415039,22,529
77,78,0.06597375869750977,24,1772
78,79,0.04498648643493652,23,780
79,80,0.41901612281799316,202,7779
80,81,0.045972585678100586,21,970
81,82,0.036000728607177734,20,538
82,83,0.037999868392944336,17,785
83,84,0.16300177574157715,68,4075
84,85,0.0410003662109375,22,639
85,86,0.03197216987609863,17,475
86,87,0.03496813774108887,20,405
87,88,0.030971527099609375,20,276
88,89,0.13396310806274414,66,2249
89,90,0.15600061416625977,71,3046
90,91,0.12597155570983887,55,2622
91,92,0.032999277114868164,22,281
92,93,0.06013822555541992,28,1231
93,94,0.040971994400024414,24,524
94,95,0.028999805450439453,20,180
95,96,0.04999971389770508,26,498
96,97,0.038001060485839844,20,512
97,98,0.04196786880493164,23,497
98,99,0.030974149703979492,19,335
99,100,0.04700207710266113,24,823
